0,Id,IdType,description
Mapoly0108s0029,PTHR12480 PTHR12480:SF6 KOG2131 PF13621,PANTHER PANTHER KOG PFAM,"PHOSPHATIDYLSERINE RECEPTOR JMJC DOMAIN-CONTAINING PROTEIN 1 Uncharacterized conserved protein, contains JmjC domain Cupin-like domain"
Mapoly0108s0030,KOG1705 PTHR13120 K12834 PF03660,KOG PANTHER KEGGORTH PFAM,"Uncharacterized conserved protein, contains CXXC motifs FAMILY NOT NAMED PHD finger-like domain-containing protein 5A PHF5-like protein"
Mapoly0108s0031,GO:0005524 K04499 KOG1942 PF06068 GO:0043141 GO:0003678 PTHR11093,GO KEGGORTH KOG PFAM GO GO PANTHER,"ATP binding RuvB-like protein 1 (pontin 52) DNA helicase, TBP-interacting protein TIP49 C-terminus ATP-dependent 5'-3' DNA helicase activity DNA helicase activity RUVB-RELATED REPTIN AND PONTIN"
Mapoly0108s0034,PF05699 PF10683 GO:0046983 KOG1121 PTHR23272,PFAM PFAM GO KOG PANTHER,hAT family C-terminal dimerisation region Hermes transposase DNA-binding domain protein dimerization activity Tam3-transposase (Ac family) BED FINGER-RELATED
Mapoly0108s0035,PTHR11697 PTHR11697:SF82,PANTHER PANTHER,GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN nan
Mapoly0108s0036,GO:0030001 PTHR24093:SF230 3.6.3.4 GO:0000166 K01533 PF00702 PTHR24093 PF00403 GO:0046872 KOG0207 PF00122,GO PANTHER EC GO KEGGORTH PFAM PANTHER PFAM GO KOG PFAM,metal ion transport nan Cu(2+)-exporting ATPase. nucleotide binding Cu2+-exporting ATPase [EC:3.6.3.4] haloacid dehalogenase-like hydrolase FAMILY NOT NAMED Heavy-metal-associated domain metal ion binding Cation transport ATPase E1-E2 ATPase
Mapoly0108s0037,PTHR22731:SF4 PF00656 PTHR22731 GO:0006508 GO:0004197,PANTHER PFAM PANTHER GO GO,nan Caspase domain RIBONUCLEASE P/MRP SUBUNIT proteolysis cysteine-type endopeptidase activity
Mapoly0108s0039,GO:0001522 GO:0042254 PTHR31633 PF04410,GO GO PANTHER PFAM,pseudouridine synthesis ribosome biogenesis FAMILY NOT NAMED Gar1/Naf1 RNA binding region
Mapoly0108s0040,PF08167,PFAM,rRNA processing/ribosome biogenesis
Mapoly0108s0041,PTHR14978:SF0 PTHR14978 K12864 KOG2734 PF08216,PANTHER PANTHER KEGGORTH KOG PFAM,"SUBFAMILY NOT NAMED BETA-CATENIN-LIKE PROTEIN 1 (NUCLEAR ASSOCIATED PROTEIN) beta-catenin-like protein 1 Uncharacterized conserved protein Catenin-beta-like, Arm-motif containing nuclear"
Mapoly0108s0042,PTHR11764:SF13 PF13249 KOG0497 PTHR11764,PANTHER PFAM KOG PANTHER,nan Prenyltransferase-like Oxidosqualene-lanosterol cyclase and related proteins FAMILY NOT NAMED
Mapoly0108s0044,GO:0004112 PF07823,GO PFAM,cyclic-nucleotide phosphodiesterase activity Cyclic phosphodiesterase-like protein
Mapoly0108s0045,PTHR22731:SF4 PTHR22731,PANTHER PANTHER,nan RIBONUCLEASE P/MRP SUBUNIT
Mapoly0108s0048,PF05254 PTHR21329:SF8 PTHR21329,PFAM PANTHER PANTHER,Uncharacterised protein family (UPF0203) SUBFAMILY NOT NAMED PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT Q-RELATED
Mapoly0108s0049,PF01585 GO:0003676,PFAM GO,G-patch domain nucleic acid binding
Mapoly0108s0050,PF00150 GO:0004553 GO:0005975 PTHR31263 PTHR31263:SF0,PFAM GO GO PANTHER PANTHER,"Cellulase (glycosyl hydrolase family 5) hydrolase activity, hydrolyzing O-glycosyl compounds carbohydrate metabolic process FAMILY NOT NAMED SUBFAMILY NOT NAMED"
Mapoly0108s0054,PTHR24412 PF00651 GO:0005515 PF00622,PANTHER PFAM GO PFAM,FAMILY NOT NAMED BTB/POZ domain protein binding SPRY domain
Mapoly0108s0055,GO:0016020 PTHR12383 GO:0008236 KOG1568 PTHR12383:SF5 GO:0006508,GO PANTHER GO KOG PANTHER GO,"membrane PROTEASE FAMILY S26 MITOCHONDRIAL INNER MEMBRANE PROTEASE-RELATED serine-type peptidase activity Mitochondrial inner membrane protease, subunit IMP2 MITOCHONDRIAL INNER MEMBRANE SIGNAL PEPTIDASE, PUTATIVE  SERINE PEPTIDASE CLAN S proteolysis"
Mapoly0108s0058,KOG1187 PF07714 PF08263 GO:0005515 GO:0004672 PTHR24420:SF654 PF00560 GO:0006468 PTHR24420,KOG PFAM PFAM GO GO PANTHER PFAM GO PANTHER,Serine/threonine protein kinase Protein tyrosine kinase Leucine rich repeat N-terminal domain protein binding protein kinase activity nan Leucine Rich Repeat protein phosphorylation LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE
Mapoly0108s0060,PTHR10742 PF01593 GO:0055114 1.14.99.- PTHR10742:SF236 K02293 KOG0029 GO:0016491,PANTHER PFAM GO EC PANTHER KEGGORTH KOG GO,"AMINE OXIDASE Flavin containing amine oxidoreductase oxidation-reduction process Miscellaneous (requires further characterization). nan phytoene dehydrogenase, phytoene desaturase [EC:1.14.99.-] Amine oxidase oxidoreductase activity"
Mapoly0108s0061,KOG0157 GO:0005506 PTHR24282 GO:0055114 GO:0016705 GO:0020037 PF00067,KOG GO PANTHER GO GO GO PFAM,"Cytochrome P450 CYP4/CYP19/CYP26 subfamilies iron ion binding FAMILY NOT NAMED oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding Cytochrome P450"
Mapoly0108s0062,K03016 PTHR10917:SF0 PTHR10917 PF03870 KOG3400 GO:0006351,KEGGORTH PANTHER PANTHER PFAM KOG GO,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC3 DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC3 RNA polymerase Rpb8 RNA polymerase subunit 8 transcription, DNA-dependent"
Mapoly0108s0063,PF00026 KOG1339 K08245 PTHR13683:SF253 PF05184 3.4.23.40 PTHR13683 PF03489 GO:0004190 GO:0006508 GO:0006629,PFAM KOG KEGGORTH PANTHER PFAM EC PANTHER PFAM GO GO GO,"Eukaryotic aspartyl protease Aspartyl protease phytepsin [EC:3.4.23.40] nan Saposin-like type B, region 1 Phytepsin. ASPARTYL PROTEASES Saposin-like type B, region 2 aspartic-type endopeptidase activity proteolysis lipid metabolic process"
Mapoly0108s0064,PTHR13271 GO:0005515 PF00856 KOG1337 PF09273 PTHR13271:SF26,PANTHER GO PFAM KOG PFAM PANTHER,UNCHARACTERIZED PUTATIVE METHYLTRANSFERASE protein binding SET domain N-methyltransferase Rubisco LSMT substrate-binding nan
Mapoly0108s0065,KOG1432 PF00149 GO:0016787 PTHR32440:SF0 PTHR32440,KOG PFAM GO PANTHER PANTHER,Predicted DNA repair exonuclease SIA1 Calcineurin-like phosphoesterase hydrolase activity SUBFAMILY NOT NAMED FAMILY NOT NAMED
Mapoly0108s0066,GO:0005524 PF08544 PF00288 KOG4519 PTHR31814 2.7.4.2 K00938,GO PFAM PFAM KOG PANTHER EC KEGGORTH,ATP binding GHMP kinases C terminal GHMP kinases N terminal domain Phosphomevalonate kinase FAMILY NOT NAMED Phosphomevalonate kinase. phosphomevalonate kinase [EC:2.7.4.2]
Mapoly0108s0067,PTHR16254:SF9 PTHR16254 GO:0015299 GO:0016021 GO:0055085 GO:0006812 PF00999,PANTHER PANTHER GO GO GO GO PFAM,nan POTASSIUM/PROTON ANTIPORTER-RELATED solute:hydrogen antiporter activity integral to membrane transmembrane transport cation transport Sodium/hydrogen exchanger family
Mapoly0109s0001,GO:0016758 PTHR11926:SF140 PF00201 PTHR11926 GO:0008152 KOG1192,GO PANTHER PFAM PANTHER GO KOG,"transferase activity, transferring hexosyl groups nan UDP-glucoronosyl and UDP-glucosyl transferase GLUCOSYL/GLUCURONOSYL TRANSFERASES metabolic process UDP-glucuronosyl and UDP-glucosyl transferase"
Mapoly0109s0002,GO:0016758 PTHR11926:SF140 K13496 PF00201 PTHR11926 GO:0008152 2.4.1.- KOG1192,GO PANTHER KEGGORTH PFAM PANTHER GO EC KOG,"transferase activity, transferring hexosyl groups nan UDP-glucosyl transferase 73C [EC:2.4.1.-] UDP-glucoronosyl and UDP-glucosyl transferase GLUCOSYL/GLUCURONOSYL TRANSFERASES metabolic process Hexosyltransferases. UDP-glucuronosyl and UDP-glucosyl transferase"
Mapoly0109s0003,GO:0055114 PF00141 GO:0020037 PTHR31235 GO:0006979 GO:0004601,GO PFAM GO PANTHER GO GO,oxidation-reduction process Peroxidase heme binding FAMILY NOT NAMED response to oxidative stress peroxidase activity
Mapoly0109s0004,GO:0055114 PF00141 GO:0020037 PTHR31235 GO:0006979 GO:0004601,GO PFAM GO PANTHER GO GO,oxidation-reduction process Peroxidase heme binding FAMILY NOT NAMED response to oxidative stress peroxidase activity
Mapoly0109s0005,GO:0016758 PTHR11926:SF140 K13496 PF00201 PTHR11926 GO:0008152 2.4.1.- KOG1192,GO PANTHER KEGGORTH PFAM PANTHER GO EC KOG,"transferase activity, transferring hexosyl groups nan UDP-glucosyl transferase 73C [EC:2.4.1.-] UDP-glucoronosyl and UDP-glucosyl transferase GLUCOSYL/GLUCURONOSYL TRANSFERASES metabolic process Hexosyltransferases. UDP-glucuronosyl and UDP-glucosyl transferase"
Mapoly0109s0006,PF04577 PTHR20961 KOG4698 PTHR20961:SF5 GO:0016757,PFAM PANTHER KOG PANTHER GO,"Protein of unknown function (DUF563) GLYCOSYLTRANSFERASE Uncharacterized conserved protein nan transferase activity, transferring glycosyl groups"
Mapoly0109s0009,PTHR22769:SF10 K03574 GO:0016787 PTHR22769 3.6.1.- PF00293,PANTHER KEGGORTH GO PANTHER EC PFAM,"nan 7,8-dihydro-8-oxoguanine triphosphatase [EC:3.6.1.-] hydrolase activity MUTT/NUDIX HYDROLASE In phosphorous-containing anhydrides. NUDIX domain"
Mapoly0109s0010,GO:0016020 GO:0005524 KOG0061 GO:0016887 PTHR19241 PF01061 PTHR19241:SF200 PF00005,GO GO KOG GO PANTHER PFAM PANTHER PFAM,"membrane ATP binding Transporter, ABC superfamily (Breast cancer resistance protein) ATPase activity ATP-BINDING CASSETTE TRANSPORTER ABC-2 type transporter nan ABC transporter"
Mapoly0109s0011,GO:0016020 GO:0005524 KOG0061 GO:0016887 PTHR19241 PF01061 PTHR19241:SF166 PF00005,GO GO KOG GO PANTHER PFAM PANTHER PFAM,"membrane ATP binding Transporter, ABC superfamily (Breast cancer resistance protein) ATPase activity ATP-BINDING CASSETTE TRANSPORTER ABC-2 type transporter nan ABC transporter"
Mapoly0109s0013,GO:0016020 GO:0005524 PTHR19241:SF166 KOG0061 GO:0016887 PTHR19241 PF00005 PF01061,GO GO PANTHER KOG GO PANTHER PFAM PFAM,"membrane ATP binding nan Transporter, ABC superfamily (Breast cancer resistance protein) ATPase activity ATP-BINDING CASSETTE TRANSPORTER ABC transporter ABC-2 type transporter"
Mapoly0109s0015,GO:0008168 PTHR23068:SF3 PTHR23068 PF00145,GO PANTHER PANTHER PFAM,methyltransferase activity gb def: Hypothetical protein T15N1_120 DNA (CYTOSINE-5-)-METHYLTRANSFERASE 3-RELATED C-5 cytosine-specific DNA methylase
Mapoly0109s0016,PTHR11254 6.3.2.19 KOG0941 GO:0004842 K10587 PTHR11254:SF294 PF00632,PANTHER EC KOG GO KEGGORTH PANTHER PFAM,HECT DOMAIN UBIQUITIN-PROTEIN LIGASE Ubiquitin--protein ligase. E3 ubiquitin protein ligase ubiquitin-protein ligase activity ubiquitin-protein ligase E3 A [EC:6.3.2.19] nan HECT-domain (ubiquitin-transferase)
Mapoly0109s0017,PF12142 PF00264 GO:0055114 PTHR11474:SF16 PTHR11474 GO:0016491 GO:0008152 GO:0004097,PFAM PFAM GO PANTHER PANTHER GO GO GO,Polyphenol oxidase middle domain Common central domain of tyrosinase oxidation-reduction process nan TYROSINASE oxidoreductase activity metabolic process catechol oxidase activity
Mapoly0109s0018,GO:0005524 6.1.1.10 GO:0000166 PTHR11946 PTHR11946:SF65 PF09334 GO:0006418 GO:0004812 K01874 KOG0436,GO EC GO PANTHER PANTHER PFAM GO GO KEGGORTH KOG,"ATP binding Methionine--tRNA ligase. nucleotide binding ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES nan tRNA synthetases class I (M) tRNA aminoacylation for protein translation aminoacyl-tRNA ligase activity methionyl-tRNA synthetase [EC:6.1.1.10] Methionyl-tRNA synthetase"
Mapoly0109s0019,KOG1375 PF00091 GO:0005874 K07375 PTHR11588 PTHR11588:SF72 GO:0007017 PF03953 GO:0006184 GO:0003924 GO:0051258 GO:0043234 GO:0005525,KOG PFAM GO KEGGORTH PANTHER PANTHER GO PFAM GO GO GO GO GO,"Beta tubulin Tubulin/FtsZ family, GTPase domain microtubule tubulin beta TUBULIN nan microtubule-based process Tubulin C-terminal domain GTP catabolic process GTPase activity protein polymerization protein complex GTP binding"
Mapoly0109s0020,KOG4172 PF13920,KOG PFAM,"Predicted E3 ubiquitin ligase Zinc finger, C3HC4 type (RING finger)"
Mapoly0109s0022,GO:0016020 PTHR13302 GO:0005801 GO:0006886 KOG2604 PF04136,GO PANTHER GO GO KOG PFAM,membrane CONSERVED OLIGOMERIC GOLGI COMPLEX COMPONENT 3 cis-Golgi network intracellular protein transport Subunit of cis-Golgi transport vesicle tethering complex - Sec34p Sec34-like family
Mapoly0109s0023,KOG2936 PF09229 GO:0006950 GO:0051087 PTHR13009 PTHR13009:SF0 GO:0001671 PF08327,KOG PFAM GO GO PANTHER PANTHER GO PFAM,"Uncharacterized conserved protein Activator of Hsp90 ATPase, N-terminal response to stress chaperone binding HEAT SHOCK PROTEIN 90 (HSP90) CO-CHAPERONE AHA-1 SUBFAMILY NOT NAMED ATPase activator activity Activator of Hsp90 ATPase homolog 1-like protein"
Mapoly0109s0024,PTHR11668:SF179 PTHR11668 PF00149 GO:0016787,PANTHER PANTHER PFAM GO,nan SERINE/THREONINE PROTEIN PHOSPHATASE Calcineurin-like phosphoesterase hydrolase activity
Mapoly0109s0026,GO:0005515 KOG1446 PTHR19861 PF00400,GO KOG PANTHER PFAM,"protein binding Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2 WD40 REPEAT PROTEIN SWD2 WD domain, G-beta repeat"
Mapoly0109s0028,PTHR22980 PF15630,PANTHER PFAM,CORTISTATIN Kinetochore component CENP-S
Mapoly0109s0030,GO:0004252 PF01694 PTHR22936 GO:0006508 GO:0016021,GO PFAM PANTHER GO GO,serine-type endopeptidase activity Rhomboid family RHOMBOID-RELATED proteolysis integral to membrane
Mapoly0109s0031,PF01277 GO:0016021 GO:0012511,PFAM GO GO,Oleosin integral to membrane monolayer-surrounded lipid storage body
Mapoly0109s0033,GO:0016020 PF03254 GO:0042546 GO:0008107 K13681 PTHR31889 2.4.1.-,GO PFAM GO GO KEGGORTH PANTHER EC,membrane Xyloglucan fucosyltransferase cell wall biogenesis galactoside 2-alpha-L-fucosyltransferase activity xyloglucan fucosyltransferase [EC:2.4.1.-] FAMILY NOT NAMED Hexosyltransferases.
Mapoly0109s0034,K03246 GO:0005515 PTHR19877 KOG0643 PF00400,KEGGORTH GO PANTHER KOG PFAM,"translation initiation factor eIF-3 subunit 2 protein binding WD40 REPEAT PROTEIN Translation initiation factor 3, subunit i (eIF-3i)/TGF-beta receptor-interacting protein (TRIP-1) WD domain, G-beta repeat"
Mapoly0109s0035,KOG2615 PTHR24003 GO:0016021 GO:0055085 PF07690 PTHR24003:SF453,KOG PANTHER GO GO PFAM PANTHER,Permease of the major facilitator superfamily MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN-RELATED integral to membrane transmembrane transport Major Facilitator Superfamily nan
Mapoly0109s0037,KOG1327 PF00168 PTHR10857 PF07002 GO:0005515,KOG PFAM PANTHER PFAM GO,Copine C2 domain COPINE Copine protein binding
Mapoly0109s0040,K00696 GO:0009058 PF00534 PF13579 KOG0853 PF05116 PTHR12526 PTHR12526:SF334 2.4.1.14,KEGGORTH GO PFAM PFAM KOG PFAM PANTHER PANTHER EC,sucrose-phosphate synthase [EC:2.4.1.14] biosynthetic process Glycosyl transferases group 1 Glycosyl transferase 4-like domain Glycosyltransferase Sucrose-6F-phosphate phosphohydrolase GLYCOSYLTRANSFERASE nan Sucrose-phosphate synthase.
Mapoly0109s0041,KOG3221 GO:0046836 PF08718 GO:0005737 PTHR10219 GO:0051861 PTHR10219:SF25 GO:0017089,KOG GO PFAM GO PANTHER GO PANTHER GO,Glycolipid transfer protein glycolipid transport Glycolipid transfer protein (GLTP) cytoplasm GLYCOLIPID TRANSFER PROTEIN-RELATED glycolipid binding nan glycolipid transporter activity
Mapoly0109s0042,PF00168 GO:0005515,PFAM GO,C2 domain protein binding
Mapoly0109s0044,GO:0003677 GO:0006260 PF04057 GO:0005634 KOG0851 PF08646 GO:0003676 K07466 PTHR23273:SF3 PTHR23273 PF01336,GO GO PFAM GO KOG PFAM GO KEGGORTH PANTHER PANTHER PFAM,"DNA binding DNA replication Replication factor-A protein 1, N-terminal domain nucleus Single-stranded DNA-binding replication protein A (RPA), large (70 kD) subunit and related ssDNA-binding proteins Replication factor-A C terminal domain nucleic acid binding replication factor A1 nan REPLICATION FACTOR A 1, RFA1 OB-fold nucleic acid binding domain"
Mapoly0109s0045,GO:0009052 PTHR11934 KOG3075 PF06026 GO:0004751,GO PANTHER KOG PFAM GO,"pentose-phosphate shunt, non-oxidative branch RIBOSE-5-PHOSPHATE ISOMERASE Ribose 5-phosphate isomerase Ribose 5-phosphate isomerase A (phosphoriboisomerase A) ribose-5-phosphate isomerase activity"
Mapoly0109s0046,KOG4658 PTHR23155:SF480 PTHR23155,KOG PANTHER PANTHER,Apoptotic ATPase nan LEUCINE-RICH REPEAT-CONTAINING PROTEIN
Mapoly0109s0047,PF12554,PFAM,Mitotic-spindle organizing gamma-tubulin ring associated
Mapoly0109s0048,KOG0710 PTHR11527 PTHR11527:SF98 PF00011,KOG PANTHER PANTHER PFAM,Molecular chaperone (small heat-shock protein Hsp26/Hsp42) SMALL HEAT-SHOCK PROTEIN (HSP20) FAMILY nan Hsp20/alpha crystallin family
Mapoly0109s0050,GO:0008270 PTHR23153 PF00641 PTHR23153:SF37 PF08325,GO PANTHER PFAM PANTHER PFAM,zinc ion binding UBX-RELATED Zn-finger in Ran binding protein and others nan WLM domain
Mapoly0109s0051,4.2.1.1 PTHR18952 PF00194 KOG0382 K01674,EC PANTHER PFAM KOG KEGGORTH,Carbonate dehydratase. CARBONIC ANHYDRASE Eukaryotic-type carbonic anhydrase Carbonic anhydrase carbonic anhydrase [EC:4.2.1.1]
Mapoly0109s0052,4.1.2.25 PTHR20941 PF02152 PTHR20941:SF7 K01633 GO:0004150 GO:0006760,EC PANTHER PFAM PANTHER KEGGORTH GO GO,Dihydroneopterin aldolase. FOLATE SYNTHESIS PROTEINS Dihydroneopterin aldolase nan dihydroneopterin aldolase [EC:4.1.2.25] dihydroneopterin aldolase activity folic acid-containing compound metabolic process
Mapoly0109s0053,GO:0005506 KOG0156 GO:0055114 GO:0016705 GO:0020037 PTHR24298 PF00067,GO KOG GO GO GO PANTHER PFAM,"iron ion binding Cytochrome P450 CYP2 subfamily oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding FAMILY NOT NAMED Cytochrome P450"
Mapoly0109s0054,GO:0003677 GO:0006355 PF02229 KOG2712 PTHR13215 GO:0003713,GO GO PFAM KOG PANTHER GO,"DNA binding regulation of transcription, DNA-dependent Transcriptional Coactivator p15 (PC4) Transcriptional coactivator RNA POLYMERASE II TRANSCRIPTIONAL COACTIVATOR transcription coactivator activity"
Mapoly0109s0055,PF05186,PFAM,Dpy-30 motif
Mapoly0109s0057,PF03763 PTHR31471 PTHR31471:SF1,PFAM PANTHER PANTHER,"Remorin, C-terminal region FAMILY NOT NAMED nan"
Mapoly0109s0062,PF05018 PTHR12458 KOG3213,PFAM PANTHER KOG,Protein of unknown function (DUF667) ORF PROTEIN Transcription factor IIB
Mapoly0110s0001,PF12171 PTHR10593:SF21 PTHR10593,PFAM PANTHER PANTHER,Zinc-finger double-stranded RNA-binding nan SERINE/THREONINE-PROTEIN KINASE RIO
Mapoly0110s0002,PTHR13296:SF0 K12861 KOG3096 PTHR13296 GO:0006397 PF05700,PANTHER KEGGORTH KOG PANTHER GO PFAM,SUBFAMILY NOT NAMED pre-mRNA-splicing factor SPF27 Spliceosome-associated coiled-coil protein BCAS2 PROTEIN mRNA processing Breast carcinoma amplified sequence 2 (BCAS2)
Mapoly0110s0006,PTHR19375 PTHR19375:SF147 K03283 PF00012 KOG0102,PANTHER PANTHER KEGGORTH PFAM KOG,"HEAT SHOCK PROTEIN 70KDA nan heat shock 70kDa protein 1/8 Hsp70 protein Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily"
Mapoly0110s0011,GO:0006357 KOG1875 PTHR12809:SF2 PTHR12809 PF08638 GO:0001104 GO:0016592,GO KOG PANTHER PANTHER PFAM GO GO,regulation of transcription from RNA polymerase II promoter Thyroid hormone receptor-associated coactivator complex component (TRAP170) SUBFAMILY NOT NAMED MEDIATOR COMPLEX SUBUNIT Mediator complex subunit MED14 RNA polymerase II transcription cofactor activity mediator complex
Mapoly0110s0012,PTHR19375 PTHR19375:SF147 K03283 PF00012 KOG0102,PANTHER PANTHER KEGGORTH PFAM KOG,"HEAT SHOCK PROTEIN 70KDA nan heat shock 70kDa protein 1/8 Hsp70 protein Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily"
Mapoly0110s0016,KOG4214 PF12796 PTHR24198,KOG PFAM PANTHER,Myotrophin and similar proteins Ankyrin repeats (3 copies) ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN
Mapoly0110s0017,PF00150 PTHR31451:SF8 GO:0004553 GO:0005975 PTHR31451,PFAM PANTHER GO GO PANTHER,"Cellulase (glycosyl hydrolase family 5) nan hydrolase activity, hydrolyzing O-glycosyl compounds carbohydrate metabolic process FAMILY NOT NAMED"
Mapoly0110s0019,PF00150 PTHR31451:SF8 GO:0004553 GO:0005975 PTHR31451,PFAM PANTHER GO GO PANTHER,"Cellulase (glycosyl hydrolase family 5) nan hydrolase activity, hydrolyzing O-glycosyl compounds carbohydrate metabolic process FAMILY NOT NAMED"
Mapoly0110s0021,PTHR15020 PF13460 PTHR15020:SF11,PANTHER PFAM PANTHER,FLAVIN REDUCTASE-RELATED NADH(P)-binding SUBFAMILY NOT NAMED
Mapoly0110s0022,GO:0003723 KOG2814 PTHR13360:SF1 PTHR13360 PF00013 PF10469,GO KOG PANTHER PANTHER PFAM PFAM,"RNA binding Transcription coactivator complex, P50 component (LigT RNA ligase/phosphodiesterase family) SUBFAMILY NOT NAMED FAMILY NOT NAMED KH domain AKAP7 2'5' RNA ligase-like domain"
Mapoly0110s0024,PF13855 GO:0005524 KOG1187 PF00069 GO:0005515 GO:0004672 PF00560 GO:0006468 PTHR24420,PFAM GO KOG PFAM GO GO PFAM GO PANTHER,Leucine rich repeat ATP binding Serine/threonine protein kinase Protein kinase domain protein binding protein kinase activity Leucine Rich Repeat protein phosphorylation LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE
Mapoly0110s0025,PTHR24413 PF00651 GO:0005515,PANTHER PFAM GO,FAMILY NOT NAMED BTB/POZ domain protein binding
Mapoly0110s0026,PTHR24413 PF00651 GO:0005515,PANTHER PFAM GO,FAMILY NOT NAMED BTB/POZ domain protein binding
Mapoly0110s0027,PTHR24413 PF00651 GO:0005515,PANTHER PFAM GO,FAMILY NOT NAMED BTB/POZ domain protein binding
Mapoly0110s0028,PTHR31319:SF1 PF06203 KOG1601 PTHR31319 GO:0005515 GO:0008270 GO:0005622 PF00643,PANTHER PFAM KOG PANTHER GO GO GO PFAM,nan CCT motif GATA-4/5/6 transcription factors FAMILY NOT NAMED protein binding zinc ion binding intracellular B-box zinc finger
Mapoly0110s0031,GO:0008168 PTHR12176 KOG1271 PF08241 PTHR12176:SF11 GO:0008152,GO PANTHER KOG PFAM PANTHER GO,methyltransferase activity UNCHARACTERIZED Methyltransferases Methyltransferase domain nan metabolic process
Mapoly0110s0033,PF01981 3.1.1.29 K04794 PTHR12649 PTHR12649:SF7 GO:0004045,PFAM EC KEGGORTH PANTHER PANTHER GO,"Peptidyl-tRNA hydrolase PTH2 Aminoacyl-tRNA hydrolase. peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29] PEPTIDYL-TRNA HYDROLASE 2 nan aminoacyl-tRNA hydrolase activity"
Mapoly0110s0034,GO:0016788 GO:0006505 GO:0006886 PF07819,GO GO GO PFAM,"hydrolase activity, acting on ester bonds GPI anchor metabolic process intracellular protein transport PGAP1-like protein"
Mapoly0110s0035,PTHR31939,PANTHER,FAMILY NOT NAMED
Mapoly0110s0037,PF00735 PTHR32046:SF0 PTHR32046 GO:0005525 GO:0007049,PFAM PANTHER PANTHER GO GO,Septin SUBFAMILY NOT NAMED FAMILY NOT NAMED GTP binding cell cycle
Mapoly0110s0039,PTHR22731:SF4 PTHR22731 PF12697,PANTHER PANTHER PFAM,nan RIBONUCLEASE P/MRP SUBUNIT Alpha/beta hydrolase family
Mapoly0110s0042,PTHR10166:SF15 PTHR10166 K04861,PANTHER PANTHER KEGGORTH,SUBFAMILY NOT NAMED VOLTAGE-DEPENDENT CALCIUM CHANNEL SUBUNIT ALPHA-2/DELTA-RELATED voltage-dependent calcium channel alpha-2/delta-4
Mapoly0110s0044,PTHR32133 PTHR32133:SF83 GO:0005515 PF00646,PANTHER PANTHER GO PFAM,FAMILY NOT NAMED nan protein binding F-box domain
Mapoly0110s0046,GO:0008375 GO:0016020 PTHR31042:SF8 PF02485 PTHR31042,GO GO PANTHER PFAM PANTHER,acetylglucosaminyltransferase activity membrane nan Core-2/I-Branching enzyme FAMILY NOT NAMED
Mapoly0110s0047,GO:0042393 PF02182 PTHR14140:SF27 PTHR14140,GO PFAM PANTHER PANTHER,histone binding SAD/SRA domain nan E3 UBIQUITIN-PROTEIN LIGASE UHRF-RELATED
Mapoly0110s0049,KOG1434 PTHR22942 PF08423 PTHR22942:SF29,KOG PANTHER PFAM PANTHER,Meiotic recombination protein Dmc1 RECA/RAD51/RADA DNA STRAND-PAIRING FAMILY MEMBER Rad51 nan
Mapoly0110s0050,PTHR10098 GO:0005515 PF00515 PTHR10098:SF108,PANTHER GO PFAM PANTHER,RAPSYN-RELATED protein binding Tetratricopeptide repeat nan
Mapoly0110s0051,PF07647 GO:0005515 PTHR10627,PFAM GO PANTHER,SAM domain (Sterile alpha motif) protein binding SCP160
Mapoly0110s0052,PTHR12174 GO:0016021 PF04258 KOG2443 PTHR12174:SF23 GO:0004190,PANTHER GO PFAM KOG PANTHER GO,SIGNAL PEPTIDE PEPTIDASE integral to membrane Signal peptide peptidase Uncharacterized conserved protein SIGNAL PEPTIDE PEPTIDASE aspartic-type endopeptidase activity
